round,epoch,method,active_clients,dropped_clients,active_decryptors,dropped_decryptors,label,aggregation_success,failure_reason,replay_attack_enabled,replay_attack_type,replay_detected,max_abs_error,train_loss,test_loss,test_accuracy,enc_time,dk_generate_time,par_dec_time,share_decrypt_time,com_dec_time,combine_decrypt_time,total_crypto_time,secure_pack_size,slot_bits,packing_value_bits,padding_bits,packing_overflow,num_model_params,num_ciphertexts,compression_ratio,pack_block_count,pack_avg_size,pack_max_base,pack_max_qmax,pack_skipped_zero_blocks,round_time
1,1,fedavg,"['f_00001', 'f_00008', 'f_00012', 'f_00013']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],c6ea2cc9d9cd2a9afa501146d59af65a8f7071fc7f4071a3a3d42343ae4cdfe2,True,,False,,False,,1.597085266735903,2.249342585824857,0.2214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.61369013786316
2,1,fedavg,"['f_00009', 'f_00012', 'f_00015', 'f_00016']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],22e09ed4e3e583f81d1f1e6ad4660680b7aa6361852ebf91b6a5156d29e84265,True,,False,,False,,0.4728369193780384,0.3061608796951118,0.9081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.387730836868286
3,1,fedavg,"['f_00006', 'f_00011', 'f_00015', 'f_00016']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],333fbe286d24fa4987fdb146893ab0e18c9c554ffc4f624b21e647c8449b1711,True,,False,,False,,0.24825824261198093,0.18735325163242164,0.9419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.697319507598877
4,1,fedavg,"['f_00003', 'f_00004', 'f_00009', 'f_00019']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],f6e1844f83525fd53a565d5e4c861117a6231fdfb78408cb13065defdce5406b,True,,False,,False,,0.19225381907360378,0.13786738590414452,0.9585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.431771278381348
5,1,fedavg,"['f_00004', 'f_00008', 'f_00017', 'f_00019']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],9a483f94a90daac4b4c590095a16330eaa7fec1e91df1ff4dcaae5ba737245aa,True,,False,,False,,0.18556955324005409,0.1264776131316165,0.9609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.362102508544922
6,1,fedavg,"['f_00002', 'f_00003', 'f_00009', 'f_00010']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],44fbe24af5a8521e90e614d07e25d08841984aece7ab93057d3c7183c3cf366c,True,,False,,False,,0.17818055283367207,0.10167804823381602,0.9689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.368199825286865
7,1,fedavg,"['f_00003', 'f_00011', 'f_00015', 'f_00017']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],48edb5ba79d79599353d705b6759f5eb9283ba652a59292be92cef1c85c4c3d9,True,,False,,False,,0.12046336851254769,0.08470621319772427,0.9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.66380763053894
8,1,fedavg,"['f_00006', 'f_00010', 'f_00013', 'f_00015']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],f614fc5879a10ee4014c6a3080c8b76aa5b416dd0e13828c0cc12e6a2f3b0697,True,,False,,False,,0.11113995604608563,0.07182320546963887,0.9777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,12.582772493362427
9,1,fedavg,"['f_00001', 'f_00008', 'f_00014', 'f_00016']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],fcc6a87d7a5630230a1a0160b1e85caaf212711fed5d02e3d908fce91bb4fe9e,True,,False,,False,,0.10940572063573548,0.0680528258775794,0.9792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.587263107299805
10,1,fedavg,"['f_00000', 'f_00002', 'f_00012', 'f_00017']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],8b9b2cbed0a92b92824d24bea9547acec86222471077e296fecb863d45335bdc,True,,False,,False,,0.10205378645740354,0.06455336276599011,0.9801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.542503833770752
11,1,fedavg,"['f_00000', 'f_00007', 'f_00010', 'f_00015']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],2bac61147cf11fc0d83490b1bfcf9d56512b6fad44e4d9e181c05855aaa06bbc,True,,False,,False,,0.09437226386634028,0.06161686434013069,0.9795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.473398923873901
12,1,fedavg,"['f_00002', 'f_00006', 'f_00007', 'f_00010']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],ea9fabf97f7ee9a4cb58f8dc1ff941b82ae5fd19e926c00ee30eb8de3f5ad284,True,,False,,False,,0.08098747391716404,0.052977885843319875,0.9822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.420757532119751
13,1,fedavg,"['f_00004', 'f_00007', 'f_00014', 'f_00017']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],8859d70a5217312fff01789d7c9d2486d2dbf78837eb01b540225bee5e5198b6,True,,False,,False,,0.07489178145072975,0.05066804419335417,0.9827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.493449687957764
14,1,fedavg,"['f_00002', 'f_00010', 'f_00016', 'f_00019']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],e419ba1a8e6b81bcd13f77de4d4617bc0f24019c0f97bc8cedbde83bcf46ad16,True,,False,,False,,0.09211470942205013,0.05099569069062935,0.9838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.444194555282593
15,1,fedavg,"['f_00003', 'f_00009', 'f_00015', 'f_00017']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],7f8237b0f856013a6ea5d5f2628fc638a320ab257ee3dfb6410b3740fce37cfd,True,,False,,False,,0.0837187536103817,0.04939603320601734,0.9846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.470121145248413
16,1,fedavg,"['f_00003', 'f_00006', 'f_00010', 'f_00017']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],84a0ea24d16108ca67df28ff47f806f2d241b0d3be3be5a96b29b72537ae0287,True,,False,,False,,0.07197923281609679,0.04891142831777169,0.9841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.401100397109985
17,1,fedavg,"['f_00009', 'f_00014', 'f_00017', 'f_00019']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],b1b9921f6a11b98abebd0d9e183a5cbfda400de23a36b69011d492bf9c7aaccf,True,,False,,False,,0.0647097674259993,0.04388820863021894,0.9857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.478309631347656
18,1,fedavg,"['f_00002', 'f_00007', 'f_00010', 'f_00012']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],3d16e1ed0896238821568aca0f5a543a4cac06390d463ce36633a2c1bf60a195,True,,False,,False,,0.07018168916878333,0.04641791500757703,0.9844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.442089557647705
19,1,fedavg,"['f_00005', 'f_00006', 'f_00009', 'f_00018']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],4bcc2debf6529409326cb0e980dad4a0a6d9f2c57640b7115082f5693788b76f,True,,False,,False,,0.07636283139348221,0.044010324082389224,0.9856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.44259762763977
20,1,fedavg,"['f_00001', 'f_00002', 'f_00008', 'f_00015']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],21042a396fd2c6ed62fba78b87b6080fec4a95fa38b0e4676aa9b8d41d17896a,True,,False,,False,,0.06866397486167669,0.04183743397184725,0.9861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.387986183166504
